"key";"en";"ru"
"CustomerReview/For a TCG Card Shop, this place smells like roses!";"For a TCG Card Shop, this place smells like roses!";""
"CustomerReview/Found the cards I needed in the free bulk bin, thank you!";"Found the cards I needed in the free bulk bin, thank you!";""
"CustomerReview/Free bulk cards!";"Free bulk cards!";""
"CustomerReview/Genuinely recommend XXX!";"Genuinely recommend XXX!";""
"CustomerReview/Good job keeping this place stink-free!";"Good job keeping this place stink-free!";""
"CustomerReview/Good mix of card varieties.";"Good mix of card varieties.";""
"CustomerReview/Good price for the cards here!";"Good price for the cards here!";""
"CustomerReview/Good price for the products here!";"Good price for the products here!";""
"CustomerReview/Good service, kind shop owner.";"Good service, kind shop owner.";""
"CustomerReview/Good shop!";"Good shop!";""
"CustomerReview/Good stuff, great service!";"Good stuff, great service!";""
"CustomerReview/Good time playing here.";"Good time playing here.";""
"CustomerReview/Good variety of things here at XXX.";"Good variety of things here at XXX.";""
"CustomerReview/Great games, disappointing finish because of the missing prize.";"Great games, disappointing finish because of the missing prize.";""
"CustomerReview/Hard to play when you can't see the cards";"Hard to play when you can't see the cards";""
"CustomerReview/Hard to support a shop that won't stand by its own prize pool.";"Hard to support a shop that won't stand by its own prize pool.";""
"CustomerReview/How do they expect us to get into this place?";"How do they expect us to get into this place?";""
"CustomerReview/I am disappointed with the tournament and felt misled.";"I am disappointed with the tournament and felt misled.";""
"CustomerReview/I bought some stuff I wanted, but can't find YYY";"I bought some stuff I wanted, but can't find YYY";""
"CustomerReview/I can t believe a store expects customers to shop in near darkness. It s impossible to see the cards, the shelves, or anything else. Completely unacceptable.";"I can’t believe a store expects customers to shop in near darkness. It’s impossible to see the cards, the shelves, or anything else. Completely unacceptable.";""
"CustomerReview/I can't believe a store expects customers to shop in near darkness. It's impossible to see the cards, the shelves, or anything else. Completely unacceptable.";"I can't believe a store expects customers to shop in near darkness. It's impossible to see the cards, the shelves, or anything else. Completely unacceptable.";""
"CustomerReview/I can't recommend a shop that doesn't honor its rewards.";"I can't recommend a shop that doesn't honor its rewards.";""
"CustomerReview/I come here to get staples all the time, wish there are rare cards.";"I come here to get staples all the time, wish there are rare cards.";""
"CustomerReview/I didn't know what I needed until I came to this shop. Now I'm broke taking every last YYY off the shelves!";"I didn't know what I needed until I came to this shop. Now I'm broke taking every last YYY off the shelves!";""
"CustomerReview/I don't like the smell.";"I don't like the smell.";""
"CustomerReview/I drove 50 miles to this shop to get YYY and they said they sold out? What a bummer!";"I drove 50 miles to this shop to get YYY and they said they sold out? What a bummer!";""
"CustomerReview/I enjoy bargain hunting in this shop, I don't know how they keep the lights on with these prices!";"I enjoy bargain hunting in this shop, I don't know how they keep the lights on with these prices!";""
"CustomerReview/I expected accountability, but all we got were excuses.";"I expected accountability, but all we got were excuses.";""
"CustomerReview/I felt bad for my friend after the shop denied the reward.";"I felt bad for my friend after the shop denied the reward.";""
"CustomerReview/I found some common cards here.";"I found some common cards here.";""
"CustomerReview/I got my YYY here, worth the visit.";"I got my YYY here, worth the visit.";""
"CustomerReview/I had to get out as soon as I got in XXX, unbearable smell";"I had to get out as soon as I got in XXX, unbearable smell";""
"CustomerReview/I had to hold the cards up to my phone's flashlight just to make out the text.";"I had to hold the cards up to my phone's flashlight just to make out the text.";""
"CustomerReview/I have nice time playing, a little expensive though";"I have nice time playing, a little expensive though";""
"CustomerReview/I hope future players don't experience what my friend did.";"I hope future players don't experience what my friend did.";""
"CustomerReview/I hope they have some discount soon for YYY.";"I hope they have some discount soon for YYY.";""
"CustomerReview/I like XXX, just wish they sell YYY";"I like XXX, just wish they sell YYY";""
"CustomerReview/I like that the owner put up free bulk cards for us, keeps the TCG community alive.";"I like that the owner put up free bulk cards for us, keeps the TCG community alive.";""
"CustomerReview/I love card shops, but this one? Practically a cave. It s uncomfortable to shop when you can t see what you re buying";"I love card shops, but this one? Practically a cave. It’s uncomfortable to shop when you can’t see what you’re buying";""
"CustomerReview/I love card shops, but this one? Practically a cave. It's uncomfortable to shop when you can't see what you're buying";"I love card shops, but this one? Practically a cave. It's uncomfortable to shop when you can't see what you're buying";""
"CustomerReview/I love this store, no smell at all.";"I love this store, no smell at all.";""
"CustomerReview/I make my deck with the packs I bought from XXX. I won the tournament. Thanks";"I make my deck with the packs I bought from XXX. I won the tournament. Thanks";""
"CustomerReview/I need a night vision goggles to play in this shop lol";"I need a night vision goggles to play in this shop lol";""
"CustomerReview/I need a night-vision goggles to play in this shop lol";"I need a night-vision goggles to play in this shop lol";""
"CustomerReview/I want YYY";"I want YYY";""
"CustomerReview/I want to buy some cards but can't get into the store.";"I want to buy some cards but can't get into the store.";""
"CustomerReview/I want to buy some singles but it's kinda expensive";"I want to buy some singles but it's kinda expensive";""
"CustomerReview/I was psyched coz it's my son's birthday and I wanna get a YYY for him. Dale told me I can get YYY here but I guess he was lying. Now we are no longer friends.";"I was psyched coz it's my son's birthday and I wanna get a YYY for him. Dale told me I can get YYY here but I guess he was lying. Now we are no longer friends.";""
"CustomerReview/I was really excited for this tournament, but it ended up being a letdown.";"I was really excited for this tournament, but it ended up being a letdown. ";""
"CustomerReview/I won't trust this shop's tournaments after what happened to my friend.";"I won't trust this shop's tournaments after what happened to my friend.";""
"CustomerReview/If I knew the damn entrance is blocked off in this dump, I would have slept in.";"If I knew the damn entrance is blocked off in this dump, I would have slept in.";""
"CustomerReview/If i can rate 0 star i will.";"If i can rate 0 star i will.";""
"CustomerReview/If prizes aren't honored, why compete at all?";"If prizes aren't honored, why compete at all?";""
"CustomerReview/If you're a TCG card collector, they have everything you can think of here.";"If you're a TCG card collector, they have everything you can think of here.";""
"CustomerReview/Interesting experience playing in the dark, I think I managed to steal one of my opponent's card without him noticing, or maybe it is my own card? I have no idea";"Interesting experience playing in the dark, I think I managed to steal one of my opponent's card without him noticing, or maybe it is my own card? I have no idea";""
"CustomerReview/It shouldn't be this difficult for a shop to honor a prize.";"It shouldn't be this difficult for a shop to honor a prize.";""
"CustomerReview/It smells.";"It smells.";""
"CustomerReview/It stinks a bit.";"It stinks a bit.";""
"CustomerReview/It stinks in this shop.. I couldn't breath";"It stinks in this shop.. I couldn't breath";""
"CustomerReview/It's a bad day to have nose";"It's a bad day to have nose";""
"CustomerReview/It's a small shop but it packs a punch.";"It's a small shop but it packs a punch.";""
"CustomerReview/It's an ok shop, might visit again.";"It's an ok shop, might visit again.";""
"CustomerReview/It's disappointing when a shop doesn't keep its word.";"It's disappointing when a shop doesn't keep its word.";""
"CustomerReview/It's fine";"It's fine";""
"CustomerReview/It's frustrating to watch a shop ignore a legitimate prize claim.";"It's frustrating to watch a shop ignore a legitimate prize claim.";""
"CustomerReview/It's hard to support a shop that won't honor prizes fairly.";"It's hard to support a shop that won't honor prizes fairly.";""
"CustomerReview/It's not a good look when a shop ignores its winners.";"It's not a good look when a shop ignores its winners.";""
"CustomerReview/It's ok, I feel that the cards are a bit pricey.";"It's ok, I feel that the cards are a bit pricey.";""
"CustomerReview/It's ok, I feel that they are a bit pricey.";"It's ok, I feel that they are a bit pricey.";""
"CustomerReview/It's ok, could be better";"It's ok, could be better";""
"CustomerReview/Look carefully before you pay! Don't get ripped off like me!";"Look carefully before you pay! Don't get ripped off like me!";""
"CustomerReview/Love the cards I boought at XXX.";"Love the cards I boought at XXX.";""
"CustomerReview/Love the prices here! Definitely getting what I need and not breaking the bank.";"Love the prices here! Definitely getting what I need and not breaking the bank.";""
"CustomerReview/Man some of these customers' BO are nasty!";"Man some of these customers' BO are nasty!";""
"CustomerReview/Many things at XXX!";"Many things at XXX!";""
"CustomerReview/Meh...";"Meh...";""
"CustomerReview/My buddy won fair and square, but the shop acted like the prize never existed.";"My buddy won fair and square, but the shop acted like the prize never existed.";""
"CustomerReview/My friend deserved better treatment than this.";"My friend deserved better treatment than this.";""
"CustomerReview/My friend did everything right, but the shop wouldn't give the promised reward.";"My friend did everything right, but the shop wouldn't give the promised reward.";""
"CustomerReview/My friend didn t get his prize in the tournament!";"My friend didn’t get his prize in the tournament!";""
"CustomerReview/My friend earned a prize, and the shop refused to honor it. That's unacceptable.";"My friend earned a prize, and the shop refused to honor it. That's unacceptable.";""
"CustomerReview/My friend earned that prize, and the shop should have acknowledged it.";"My friend earned that prize, and the shop should have acknowledged it.";""
"CustomerReview/My friend earned the prize, but the shop let everyone down.";"My friend earned the prize, but the shop let everyone down.";""
"CustomerReview/My friend earned the reward the shop failed to deliver.";"My friend earned the reward; the shop failed to deliver.";""
"CustomerReview/My friend earned the reward, but the shop failed to deliver.";"My friend earned the reward, but the shop failed to deliver.";""
"CustomerReview/My friend earned the reward, but the shop found every excuse not to hand it over.";"My friend earned the reward, but the shop found every excuse not to hand it over.";""
"CustomerReview/My friend followed every rule, but the shop didn't follow through.";"My friend followed every rule, but the shop didn't follow through.";""
"CustomerReview/My friend left empty handed because the shop wouldn't honor the prize.";"My friend left empty handed because the shop wouldn't honor the prize.";""
"CustomerReview/My friend left feeling cheated by the shop!";"My friend left feeling cheated by the shop!";""
"CustomerReview/My friend was treated unfairly after winning.";"My friend was treated unfairly after winning.";""
"CustomerReview/My friend won fairly, yet the shop refused to make things right.";"My friend won fairly, yet the shop refused to make things right.";""
"CustomerReview/My friend won the match but lost faith in the shop.";"My friend won the match but lost faith in the shop.";""
"CustomerReview/My friend's tournament win deserved reward, not excuses.";"My friend's tournament win deserved reward, not excuses.";""
"CustomerReview/Nice time here, fee is a little high.";"Nice time here, fee is a little high.";""
"CustomerReview/No more visits for me. This dude infront of me was reaching his arm for something on the top shelf, and man I swear I could cry!";"No more visits for me. This dude infront of me was reaching his arm for something on the top shelf, and man I swear I could cry!";""
"CustomerReview/Not a great environment for a competitive TCG event.";"Not a great environment for a competitive TCG event.";""
"CustomerReview/Not bad, good shop to buy YYY.";"Not bad, good shop to buy YYY.";""
"CustomerReview/Not bad, good shop to buy cards.";"Not bad, good shop to buy cards.";""
"CustomerReview/Not bad, quite clean!";"Not bad, quite clean!";""
"CustomerReview/OH do you ever restock your stuff? Where is YYY!?";"OH do you ever restock your stuff? Where is YYY!?";""
"CustomerReview/Oh god, I can't play here with the smells.";"Oh god, I can't play here with the smells.";""
"CustomerReview/Oh they think they could pull one by setting crazy prices eh.. Nah, not for this smart customer. I'm buying YYY somewhere else";"Oh they think they could pull one by setting crazy prices eh.. Nah, not for this smart customer. I'm buying YYY somewhere else";""
"CustomerReview/Ok is it just me or is it normal for the owner to be opening cardpacks all day?!";"Ok is it just me or is it normal for the owner to be opening cardpacks all day?!";""
"CustomerReview/Ok pricing";"Ok pricing";""
"CustomerReview/Once the tournament started, it was chaos. Organizers clearly didn't know what they were doing.";"Once the tournament started, it was chaos. Organizers clearly didn't know what they were doing.";""
"CustomerReview/One of the best TCG shops. Sells at fair prices and gives free cards instead of overcharging like competing shops.";"One of the best TCG shops. Sells at fair prices and gives free cards instead of overcharging like competing shops.";""
"CustomerReview/Owner just ripping packs while I do my shopping";"Owner just ripping packs while I do my shopping";""
"CustomerReview/Peak customer service.";"Peak customer service.";""
"CustomerReview/Plenty of products here, I love it!";"Plenty of products here, I love it!";""
"CustomerReview/Poor tournament organization, long waits, not worth the time or money.";"Poor tournament organization, long waits, not worth the time or money.";""
"CustomerReview/Really cheap, will come again!";"Really cheap, will come again!";""
"CustomerReview/Really like XXX!";"Really like XXX!";""
"CustomerReview/Really pricey on some of the cards";"Really pricey on some of the cards";""
"CustomerReview/STINKS!!!";"Stinks!!!";""
"CustomerReview/Saw some really rare cards";"Saw some really rare cards";""
"CustomerReview/Seems fine to me, had some fun time!";"Seems fine to me, had some fun time!";""
"CustomerReview/Staff is friendly and services are great!";"Staff is friendly and services are great!";""
"CustomerReview/Staff is friendly and willing to help customer!";"Staff is friendly and willing to help customer!";""
"CustomerReview/Thank you very much for the free cards. Now I can finally play!";"Thank you very much for the free cards. Now I can finally play!";""
"CustomerReview/Thanks for the free cards!";"Thanks for the free cards!";""
"CustomerReview/That guy must have ripped up cases of card packs by now..";"That guy must have ripped up cases of card packs by now..";""
"CustomerReview/The card is really cheap!";"The card is really cheap!";""
"CustomerReview/The collection here is awesome!";"The collection here is awesome!";""
"CustomerReview/The entrance is blocked!?";"The entrance is blocked!?";""
"CustomerReview/The event could have ended on a high note if the shop had honored the prize.";"The event could have ended on a high note if the shop had honored the prize.";""
"CustomerReview/The event deserved a better ending than this.";"The event deserved a better ending than this.";""
"CustomerReview/The event was fun until the shop refused to honor the winnings.";"The event was fun until the shop refused to honor the winnings.";""
"CustomerReview/The excitement ended the moment the shop denied the reward.";"The excitement ended the moment the shop denied the reward.";""
"CustomerReview/The missing prize reflects poorly on the shop's organization.";"The missing prize reflects poorly on the shop's organization.";""
"CustomerReview/The owner gave me a bunch of coins as change, why";"The owner gave me a bunch of coins as change, why";""
"CustomerReview/The owner gave me a lot of coins for some reason";"The owner gave me a lot of coins for some reason";""
"CustomerReview/The owner is a certified gigachad of the trading card world. Helped me find every single card I needed for free!";"The owner is a certified gigachad of the trading card world. Helped me find every single card I needed for free!";""
"CustomerReview/The owner just keeps opening card pack at the corner...";"The owner just keeps opening card pack at the corner...";""
"CustomerReview/The place is neat and tidy.";"The place is neat and tidy.";""
"CustomerReview/The price for YYY was not that bad.. But not super great deals either.";"The price for YYY was not that bad.. But not super great deals either.";""
"CustomerReview/The prizes were NOT what was advertised!";"The prizes were NOT what was advertised!";""
"CustomerReview/The shop failed to recognize an earned victory.";"The shop failed to recognize an earned victory.";""
"CustomerReview/The shop failed to recognize my friend's hard earned result.";"The shop failed to recognize my friend's hard earned result.";""
"CustomerReview/The shop had every opportunity to fix the issue but didn't.";"The shop had every opportunity to fix the issue but didn't.";""
"CustomerReview/The shop handled the tournament poorly by not honoring the prize.";"The shop handled the tournament poorly by not honoring the prize.";""
"CustomerReview/The shop is fantastic, but honestly the owner is the real MVP.";"The shop is fantastic, but honestly the owner is the real MVP.";""
"CustomerReview/The shop is so dimly lit that I could barely read the card labels. It felt like I needed a flashlight just to see the prices.";"The shop is so dimly lit that I could barely read the card labels. It felt like I needed a flashlight just to see the prices.";""
"CustomerReview/The shop let my friend win, then acted like the prize didn't exist.";"The shop let my friend win, then acted like the prize didn't exist.";""
"CustomerReview/The shop lost a lot of trust after this tournament.";"The shop lost a lot of trust after this tournament.";""
"CustomerReview/The shop made promises it didn't keep. My friend deserved that prize.";"The shop made promises it didn't keep. My friend deserved that prize.";""
"CustomerReview/The shop made the tournament feel pointless by denying the reward.";"The shop made the tournament feel pointless by denying the reward.";""
"CustomerReview/The shop needs to improve how it handles tournament rewards.";"The shop needs to improve how it handles tournament rewards.";""
"CustomerReview/The shop needs to take responsibility for its tournament prizes.";"The shop needs to take responsibility for its tournament prizes.";""
"CustomerReview/The shop should be held accountable for its tournament promises.";"The shop should be held accountable for its tournament promises.";""
"CustomerReview/The shop should have done the right thing and honored the reward.";"The shop should have done the right thing and honored the reward.";""
"CustomerReview/The shop should rethink how it treats tournament winners.";"The shop should rethink how it treats tournament winners.";""
"CustomerReview/The shop should stand behind its own tournament prizes.";"The shop should stand behind its own tournament prizes.";""
"CustomerReview/The shop should value players enough to keep its promises.";"The shop should value players enough to keep its promises.";""
"CustomerReview/The shop turned a fun event into a frustrating experience.";"The shop turned a fun event into a frustrating experience.";""
"CustomerReview/The shop's credibility took a hit after this tournament incident.";"The shop's credibility took a hit after this tournament incident.";""
"CustomerReview/The shop's handling of the prize left a terrible impression.";"The shop's handling of the prize left a terrible impression.";""
"CustomerReview/The shop's handling of the situation was disappointing from start to finish.";"The shop's handling of the situation was disappointing from start to finish.";""
"CustomerReview/The shop's refusal to honor the prize overshadowed the whole event.";"The shop's refusal to honor the prize overshadowed the whole event.";""
"CustomerReview/The store is way too dark, especially at night. I kept squinting just to look at the cards...";"The store is way too dark, especially at night. I kept squinting just to look at the cards...";""
"CustomerReview/The tournament was very poorly organized. For an event with an entry fee, I expected much better planning.";"The tournament was very poorly organized. For an event with an entry fee, I expected much better planning.";""
"CustomerReview/They are literally stealing my lunch money and trying to get away with that card pricing..";"They are literally stealing my lunch money and trying to get away with that card pricing..";""
"CustomerReview/They don't sell card here...";"They don't sell card here...";""
"CustomerReview/They have an awesome collection in XXX!";"They have an awesome collection in XXX!";""
"CustomerReview/They setup some stuff to block the entrance, I wonder why?";"They setup some stuff to block the entrance, I wonder why?";""
"CustomerReview/Things are good, but it was so expensive.";"Things are good, but it was so expensive.";""
"CustomerReview/This place is nice to play at!";"This place is nice to play at!";""
"CustomerReview/This place is ridiculously dark. I m here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.";"This place is ridiculously dark. I’m here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.";""
"CustomerReview/This place is ridiculously dark. I'm here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.";"This place is ridiculously dark. I'm here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.";""
"CustomerReview/This place may be new but that owner sure knows what scratches a good 'ol TCG itch!";"This place may be new but that owner sure knows what scratches a good 'ol TCG itch!";""
"CustomerReview/This shop does not sell YYY";"This shop does not sell YYY";""
"CustomerReview/This shop is definitely overcharging the customers for the YYY..";"This shop is definitely overcharging the customers for the YYY..";""
"CustomerReview/This shop lost our trust after refusing the prize.";"This shop lost our trust after refusing the prize.";""
"CustomerReview/This shop's refusal to honor the promised prize overshadowed everything else.";"This shop's refusal to honor the promised prize overshadowed everything else.";""
"CustomerReview/This store is clean, thank you!!";"This store is clean, thank you!!";""
"CustomerReview/This tournament was a complete dumpster fire.";"This tournament was a complete dumpster fire.";""
"CustomerReview/This was one of the worst TCG tournaments I've ever attended. Total chaos from start to finish.";"This was one of the worst TCG tournaments I've ever attended. Total chaos from start to finish.";""
"CustomerReview/Those singles are so expensive I don't even know who buys them.";"Those singles are so expensive I don't even know who buys them.";""
"CustomerReview/Thought I saw someone weird opening packs at the shop corner, turns out it's the owner of XXX";"Thought I saw someone weird opening packs at the shop corner, turns out it's the owner of XXX";""
"CustomerReview/Thumbs up for those spray! At least no more stinks on the players when I sit down and play cards.";"Thumbs up for those spray! At least no more stinks on the players when I sit down and play cards.";""
"CustomerReview/Too dark! The lighting makes it impossible to appreciate the artwork on the cards.";"Too dark! The lighting makes it impossible to appreciate the artwork on the cards.";""
"CustomerReview/Ugh.. I feel mixed. On one hand I can find most stuff, on the other hand, YYY is quite pricey.";"Ugh.. I feel mixed. On one hand I can find most stuff, on the other hand, YYY is quite pricey.";""
"CustomerReview/Unfair price for playing here.";"Unfair price for playing here.";""
"CustomerReview/Unfair price on YYY.";"Unfair price on YYY.";""
"CustomerReview/Unfair price on the singles...";"Unfair price on the singles...";""
"CustomerReview/Urgh.. That body odour is making my head spin!";"Urgh.. That body odour is making my head spin!";""
"CustomerReview/Used to love coming here, but I think I'll pass next time.";"Used to love coming here, but I think I'll pass next time.";""
"CustomerReview/VERY GOOD!";"Very Good!";""
"CustomerReview/Very cheap, will visit soon!";"Very cheap, will visit soon!";""
"CustomerReview/Very friendly and honest shop with a big passion for trading card games, thank you for the free cards!";"Very friendly and honest shop with a big passion for trading card games, thank you for the free cards!";""
"CustomerReview/Very frustrating tournament experience.";"Very frustrating tournament experience.";""
"CustomerReview/Very good, I highly recommend this shop. The owner put out free cards, just a joy to support this shop.";"Very good, I highly recommend this shop. The owner put out free cards, just a joy to support this shop.";""
"CustomerReview/Watching the shop deny my friend's prize completely ruined the event.";"Watching the shop deny my friend's prize completely ruined the event.";""
"CustomerReview/We came for a fair tournament, not broken promises.";"We came for a fair tournament, not broken promises.";""
"CustomerReview/We expected a celebration, not an argument over a prize.";"We expected a celebration, not an argument over a prize.";""
"CustomerReview/Well some of the customers smell weird, but I guess I could just stay away from them.";"Well some of the customers smell weird, but I guess I could just stay away from them.";""
"CustomerReview/What a rip off! They tryna sell YYY so much more expensive from that other shop I went last week. No deal.";"What a rip off! They tryna sell YYY so much more expensive from that other shop I went last week. No deal.";""
"CustomerReview/What am I supposed to do with all these coins!?";"What am I supposed to do with all these coins!?";""
"CustomerReview/What an embarrassing tournament. Poor planning, poor execution. I will not be coming back.";"What an embarrassing tournament. Poor planning, poor execution. I will not be coming back.";""
"CustomerReview/Where is YYY?";"Where is YYY?";""
"CustomerReview/Why is the door blocked!?";"Why is the door blocked!?";""
"CustomerReview/Why no YYY?";"Why no YYY?";""
"CustomerReview/Will not visit anymore, too smelly...";"Will not visit anymore, too smelly...";""
"CustomerReview/Woah did the shop think money grows on trees? Those cards are expensive as hell!";"Woah did the shop think money grows on trees? Those cards are expensive as hell!";""
"CustomerReview/Word of caution: only bring cash to this shop else you might rack up debts buying too much stuff!";"Word of caution: only bring cash to this shop else you might rack up debts buying too much stuff!";""
"CustomerReview/Worst experience, there is nothing I want in the shop.";"Worst experience, there is nothing I want in the shop.";""
"CustomerReview/Wow I'd definitely come back here just for the YYY! Hope they keep the price tho.";"Wow I'd definitely come back here just for the YYY! Hope they keep the price tho.";""
"CustomerReview/XXX does not sell YYY!!";"XXX does not sell YYY!!";""
"CustomerReview/XXX is clean, I love it!!";"XXX is clean, I love it!!";""
"CustomerReview/XXX is the best card shop, will visit again!";"XXX is the best card shop, will visit again!";""
"CustomerReview/XXX tries to keep it clean, I respect that!";"XXX tries to keep it clean, I respect that!";""
"CustomerReview/YYY here is way overpriced! Shop elsewhere...";"YYY here is way overpriced! Shop elsewhere...";""
"CustomerReview/YYY is a little expensive.";"YYY is a little expensive.";""
"CustomerReview/YYY is really cheap, thank you!";"YYY is really cheap, thank you!";""
"CustomerTrade/Awesome, thanks!";"Awesome, thanks!";""
"CustomerTrade/Best deal ever!";"Best deal ever!";""
"CustomerTrade/Can I get a little more than that?";"Can I get a little more than that?";""
"CustomerTrade/Good deal, thanks!";"Good deal, thanks!";""
"CustomerTrade/Great, thank you!";"Great, thank you!";""
"CustomerTrade/I want to sell this card. How much can I get?";"I want to sell this card. How much can I get?";""
"CustomerTrade/I want to trade this card. Do you want it?";"I want to trade this card. Do you want it?";""
"CustomerTrade/I'm looking for this card, wanna trade?";"I'm looking for this card, wanna trade?";""
"CustomerTrade/It's a bit too low. How about this?";"It's a bit too low. How about this?";""
"CustomerTrade/Looking to sell this, can you give me a good price?";"Looking to sell this, can you give me a good price?";""
"CustomerTrade/No way I'm gonna sell at that price.";"No way I'm gonna sell at that price.";""
"CustomerTrade/Right on!";"Right on!";""
"CustomerTrade/Thank you!!";"Thank you!!";""
"CustomerTrade/Thanks!";"Thanks!";""
"CustomerTrade/That's way too low!";"That's way too low!";""
"CustomerTrade/This is my final offer.";"This is my final offer.";""
"CustomerTrade/Wanna sell this. What's the best I can get?";"Wanna sell this. What's the best I can get?";""
"CustomerTrade/You got yourself a deal!";"You got yourself a deal!";""
"Customers are more likely to play in the shop";"Customers are more likely to play in the shop";""
"Customers are willing to pay more when playing TCG";"Customers are willing to pay more when playing TCG";""
"Customers can play card game here, good way to earn extra income. Comes with 2 chairs.";"Customers can play card game here, good way to earn extra income. Comes with 2 chairs.";""
"Customers go here to pay for the items they want to buy, comes with cash register and credit card machine.";"Customers go here to pay for the items they want to buy, comes with cash register and credit card machine.";""
"Customers have a higher maximum amount of money";"Customers have a higher maximum amount of money";""
"Customers might leave better reviews";"Customers might leave better reviews";""
"Customers played game in shop required";"Customers played game in shop required";""
"Customize";"Customize";""
"Customize Your Shop";"Customize Your Shop";""
"Cutie";"Cutie";""
"Cyber";"Cyber";""
"Cyclops";"Cyclops";""
"D20 Dice Black";"D20 Dice Black";""
"D20 Dice Blue";"D20 Dice Blue";""
"D20 Dice Green";"D20 Dice Green";""
"D20 Dice Red";"D20 Dice Red";""
"D20 Dice White";"D20 Dice White";""
"DECLINED!";"DECLINED!";""
"DECO";"DECO";""
"DRAW";"DRAW";""
"Daily Report";"Daily Report";""
"Daily Reward";"Daily Reward";""
"Daily Shop";"Daily Shop";""
"Dark Knight";"Dark Knight";""
"Data Report";"Data Report";""
"Day";"Day";""
"Day XXX";"Day XXX";""
"Days";"Days";""
"Days Passed:";"Days Passed:";""
"Deal";"Deal";""
"Deal XXX unblockable TP damage";"Deal XXX unblockable TP damage";""
"Deals double damage to shield for YYY turn";"Deals double damage to shield for YYY turn";""
"Deals double damage to shield this turn";"Deals double damage to shield this turn";""
"Deals triple damage to shield this turn";"Deals triple damage to shield this turn";""
"December";"December";""
"Decimite";"Decimite";""
"Decimite Figurine";"Decimite Figurine";""
"Decimite Statue";"Decimite Statue";""
"Deck";"Deck";""
"Deck Box Blue";"Deck Box Blue";""
"Deck Box Green";"Deck Box Green";""
"Deck Box Red";"Deck Box Red";""
"Deck Box Yellow";"Deck Box Yellow";""
"Deck Edit";"Deck Edit";""
"Deck List";"Deck List";""
"Deck copied successfully";"Deck copied successfully";""
"Deck data copied to clipboard";"Deck data copied to clipboard";""
"Deck data import failed";"Deck data import failed";""
"Deck is incomplete";"Deck is incomplete";""
"Deck pasted successfully";"Deck pasted successfully";""
"Decline";"Decline";""
"Deco";"Deco";""
"Decorate";"Decorate";""
"Decoration";"Decoration";""
"Default";"Default";""
"Default Setting";"Default Setting";""
"Defeat";"Defeat";""
"Defeated";"Defeated";""
"Delete";"Delete";""
"Delivery Fee";"Delivery Fee";""
"Delivery in XXX day";"Delivery in XXX day";""
"Delivery in XXX days";"Delivery in XXX days";""
"Destiny";"Destiny";""
"Destiny Basic Pack Sales";"Destiny Basic Pack Sales";""
"Destiny Card";"Destiny Card";""
"Destiny Card Collector";"Destiny Card Collector";""
"Destiny Epic Pack Sales";"Destiny Epic Pack Sales";""
"Destiny Legendary Pack Sales";"Destiny Legendary Pack Sales";""
"Destiny Rare Pack Sales";"Destiny Rare Pack Sales";""
"Destroy XXX card on opponent's field";"Destroy XXX card on opponent's field";""
"Destroy XXX card on opponent's field, draw YYY";"Destroy XXX card on opponent's field, draw YYY";""
"Destroy XXX opponent's field card with earth element YYY or less";"Destroy XXX opponent's field card with earth element YYY or less";""
"Destroy XXX opponent's field card with fire element YYY or less";"Destroy XXX opponent's field card with fire element YYY or less";""
"Destroy XXX opponent's field card with water element YYY or less";"Destroy XXX opponent's field card with water element YYY or less";""
"Destroy all opponent's field card with wind element XXX or higher";"Destroy all opponent's field card with wind element XXX or higher";""
"Detail";"Detail";""
"Detective";"Detective";""
"Developed by";"Developed by :";""
"Developed by Sia Ding Shen";"Developed by Sia Ding Shen";""
"Director";"Director";""
"Disable Controller";"Disable Controller";""
"Disable VSync";"Disable VSync";""
"Disable opponent's wind element attack for XXX turn";"Disable opponent's wind element attack for XXX turn";""
"Discard Pile";"Discard Pile";""
"Discard Tetron,Raxx and Gannon from your hand. If you do, boost active elemental power of this card by XXX. If you don't, discard this card instead.";"Discard Tetron,Raxx and Gannon from your hand. If you do, boost active elemental power of this card by XXX. If you don't, discard this card instead.";""
"Discard XXX card from the top of your deck. Boost active elemental power of this card by the same elemental power of the discarded card.";"Discard XXX card from the top of your deck. Boost active elemental power of this card by the same elemental power of the discarded card.";""
"Discard XXX card from your hand. If you do, draw YYY card.";"Discard XXX card from your hand. If you do, draw YYY card.";""
"Discard XXX card from your hand. Your opponent cannot evolve their Tetramon next turn.";"Discard XXX card from your hand. Your opponent cannot evolve their Tetramon next turn.";""
"Discard XXX card, then destroy YYY card on opponent's field";"Discard XXX card, then destroy YYY card on opponent's field";""
"Discard XXX cards from the top of your deck. Boost active elemental power of this card by the same elemental power of all the discarded card.";"Discard XXX cards from the top of your deck. Boost active elemental power of this card by the same elemental power of all the discarded card.";""
"Discard XXX cards from your deck. Boost active elemental power of this card by Fire elemental power of the discarded cards.";"Discard XXX cards from your deck. Boost active elemental power of this card by Fire elemental power of the discarded cards.";""
